,Keyword,Score,Prose,Author
0,rain,2.0901,Violet,ChatGPT
1,frighten,1.512,Violet,ChatGPT
2,beauty,1.4583,Violet,ChatGPT
3,trees,1.3706999999999998,Violet,ChatGPT
4,morning,1.3113000000000001,Violet,ChatGPT
0,beech,11.177,The Withered Beech,ChatGPT
1,trees,7.394500000000001,The Withered Beech,ChatGPT
2,tale,3.1725000000000003,The Withered Beech,ChatGPT
3,winter,2.9259999999999997,The Withered Beech,ChatGPT
4,love,2.8265000000000002,The Withered Beech,ChatGPT
0,cliff,9.934999999999999,The Weeping Rock,ChatGPT
1,sorrow,5.610999999999999,The Weeping Rock,ChatGPT
2,valley,5.126,The Weeping Rock,ChatGPT
3,nature,4.454,The Weeping Rock,ChatGPT
4,thousand,2.2880000000000003,The Weeping Rock,ChatGPT
0,mountains,4.686,The Lofty Mountains,ChatGPT
1,waiting,3.658,The Lofty Mountains,ChatGPT
2,stand,3.0300000000000002,The Lofty Mountains,ChatGPT
3,divinity,3.0130000000000003,The Lofty Mountains,ChatGPT
4,unseen,2.9995,The Lofty Mountains,ChatGPT
0,vultures,8.255099999999999,The Vulture,ChatGPT
1,chirping,5.9087000000000005,The Vulture,ChatGPT
2,poor,4.621400000000001,The Vulture,ChatGPT
3,soar,3.6763999999999992,The Vulture,ChatGPT
4,stared,3.4426,The Vulture,ChatGPT
0,deer,7.0992,The Forest Was Crying,ChatGPT
1,child,2.4655999999999993,The Forest Was Crying,ChatGPT
2,stag,2.2048,The Forest Was Crying,ChatGPT
3,daira,1.5676,The Forest Was Crying,ChatGPT
4,having,1.484,The Forest Was Crying,ChatGPT
0,cliff,8.592500000000003,The Coarse Grass,ChatGPT
1,mountain,7.6615,The Coarse Grass,ChatGPT
2,stones,6.282499999999999,The Coarse Grass,ChatGPT
3,abyss,4.220999999999999,The Coarse Grass,ChatGPT
4,cries,3.7450000000000006,The Coarse Grass,ChatGPT
0,water,4.9284,The Mountain Spring,ChatGPT
1,god,3.3312000000000004,The Mountain Spring,ChatGPT
2,spring,2.9655999999999993,The Mountain Spring,ChatGPT
3,mountain,2.4488000000000003,The Mountain Spring,ChatGPT
4,flow,2.1952,The Mountain Spring,ChatGPT
0,earth,2.6148,Roots,ChatGPT
1,oak,1.9010999999999998,Roots,ChatGPT
2,withering,1.6071,Roots,ChatGPT
3,roots,1.4574,Roots,ChatGPT
4,snakes,1.3403999999999998,Roots,ChatGPT
0,forest,6.6306,Its Rising Its Getting Light,ChatGPT
1,eat,6.400799999999999,Its Rising Its Getting Light,ChatGPT
2,village,4.487399999999999,Its Rising Its Getting Light,ChatGPT
3,gathering,3.7842000000000002,Its Rising Its Getting Light,ChatGPT
4,snow,3.6047999999999987,Its Rising Its Getting Light,ChatGPT
0,kursha,15.885600000000005,A Small Shepherds Thoughts,ChatGPT
1,father,7.937599999999999,A Small Shepherds Thoughts,ChatGPT
2,grouse,7.782400000000001,A Small Shepherds Thoughts,ChatGPT
3,tighuna,5.982399999999999,A Small Shepherds Thoughts,ChatGPT
4,herded,5.7512,A Small Shepherds Thoughts,ChatGPT
0,chaffinch,14.785100000000002,The Wedding Of The Jays,ChatGPT
1,wedding,13.862200000000003,The Wedding Of The Jays,ChatGPT
2,feast,12.6423,The Wedding Of The Jays,ChatGPT
3,forest,9.893400000000003,The Wedding Of The Jays,ChatGPT
4,kind,7.337,The Wedding Of The Jays,ChatGPT
