,Keyword,Score,Prose,Author
0,life,2.2470000000000003,Violet,Google
1,trees,2.1636,Violet,Google
2,beauty,1.9919999999999995,Violet,Google
3,father,1.4832,Violet,Google
4,leafless,1.1676,Violet,Google
0,beech,10.9085,The Withered Beech,Google
1,trees,7.394999999999999,The Withered Beech,Google
2,leaves,4.1339999999999995,The Withered Beech,Google
3,sadness,3.2504999999999997,The Withered Beech,Google
4,winter,3.245,The Withered Beech,Google
0,rock,8.3265,The Weeping Rock,Google
1,heart,4.6960000000000015,The Weeping Rock,Google
2,mountain,2.7505,The Weeping Rock,Google
3,bari,2.1455,The Weeping Rock,Google
4,thousand,2.105,The Weeping Rock,Google
0,heart,4.6114999999999995,The Lofty Mountains,Google
1,waiting,4.411500000000001,The Lofty Mountains,Google
2,mountains,3.7954999999999997,The Lofty Mountains,Google
3,like,2.3955,The Lofty Mountains,Google
4,god,2.1624999999999996,The Lofty Mountains,Google
0,god,6.570200000000001,The Vulture,Google
1,savi,6.561800000000001,The Vulture,Google
2,mutters,4.919600000000001,The Vulture,Google
3,pilot,4.2413,The Vulture,Google
4,crows,3.2535999999999996,The Vulture,Google
0,deer,7.574,The Forest Was Crying,Google
1,heard,2.4868000000000006,The Forest Was Crying,Google
2,meadow,2.0652000000000004,The Forest Was Crying,Google
3,barbecue,2.0552,The Forest Was Crying,Google
4,nayalaghar,2.026,The Forest Was Crying,Google
0,boulders,7.956900000000001,The Coarse Grass,Google
1,mountain,6.789999999999999,The Coarse Grass,Google
2,parents,4.250400000000001,The Coarse Grass,Google
3,abyss,3.9893,The Coarse Grass,Google
4,afraid,3.3313000000000006,The Coarse Grass,Google
0,god,3.9299999999999997,The Mountain Spring,Google
1,goddess,2.5628,The Mountain Spring,Google
2,heaven,2.5220000000000002,The Mountain Spring,Google
3,khorafs,1.9188000000000005,The Mountain Spring,Google
4,mountain,1.862,The Mountain Spring,Google
0,earth,2.3025,Roots,Google
1,tree,2.1437999999999997,Roots,Google
2,food,2.0274,Roots,Google
3,withering,1.56,Roots,Google
4,rest,1.3521,Roots,Google
0,trees,3.9222000000000006,Its Rising Its Getting Light,Google
1,eat,3.7902000000000005,Its Rising Its Getting Light,Google
2,snow,3.3191999999999995,Its Rising Its Getting Light,Google
3,village,2.9490000000000007,Its Rising Its Getting Light,Google
4,night,2.5884,Its Rising Its Getting Light,Google
0,sheep,11.358399999999998,A Small Shepherds Thoughts,Google
1,heard,7.319199999999997,A Small Shepherds Thoughts,Google
2,tighuna,5.602400000000002,A Small Shepherds Thoughts,Google
3,gave,5.1552,A Small Shepherds Thoughts,Google
4,come,4.7328,A Small Shepherds Thoughts,Google
0,birds,38.14910000000001,The Wedding Of The Jays,Google
1,wedding,12.656600000000003,The Wedding Of The Jays,Google
2,chkhikvi,9.662399999999998,The Wedding Of The Jays,Google
3,flowers,8.366599999999998,The Wedding Of The Jays,Google
4,feast,7.645000000000001,The Wedding Of The Jays,Google
