,Keyword,Score,Prose,Author
0,scare,1.8287999999999998,Violet,Gemini
1,rain,1.8231000000000002,Violet,Gemini
2,happy,1.6845,Violet,Gemini
3,beauty,1.4123999999999999,Violet,Gemini
4,caresses,1.3917000000000002,Violet,Gemini
0,beech,11.045000000000002,The Withered Beech,Gemini
1,trees,6.918000000000001,The Withered Beech,Gemini
2,withered,4.233,The Withered Beech,Gemini
3,tale,3.1720000000000006,The Withered Beech,Gemini
4,deer,2.9259999999999997,The Withered Beech,Gemini
0,rock,7.552999999999998,The Weeping Rock,Gemini
1,heart,4.410500000000001,The Weeping Rock,Gemini
2,anger,3.8055,The Weeping Rock,Gemini
3,valley,3.653000000000001,The Weeping Rock,Gemini
4,strong,2.788,The Weeping Rock,Gemini
0,anticipation,4.470000000000001,The Lofty Mountains,Gemini
1,mountains,4.0725,The Lofty Mountains,Gemini
2,hearts,3.578499999999999,The Lofty Mountains,Gemini
3,wait,3.3770000000000002,The Lofty Mountains,Gemini
4,deity,2.536,The Lofty Mountains,Gemini
0,vultures,8.121400000000001,The Vulture,Gemini
1,fly,4.2875,The Vulture,Gemini
2,whispers,4.0634999999999994,The Vulture,Gemini
3,creature,3.9409999999999994,The Vulture,Gemini
4,praise,3.883600000000001,The Vulture,Gemini
0,deer,7.264400000000001,The Forest Was Crying,Gemini
1,venison,2.9104,The Forest Was Crying,Gemini
2,heard,2.4908,The Forest Was Crying,Gemini
3,slaughtered,1.8764,The Forest Was Crying,Gemini
4,meadow,1.7548,The Forest Was Crying,Gemini
0,grass,11.010299999999997,The Coarse Grass,Gemini
1,cliff,7.489299999999998,The Coarse Grass,Gemini
2,mountain,7.4263,The Coarse Grass,Gemini
3,cries,5.9171,The Coarse Grass,Gemini
4,boulders,4.5885,The Coarse Grass,Gemini
0,god,3.5187999999999993,The Mountain Spring,Gemini
1,spring,2.4592,The Mountain Spring,Gemini
2,mountain,2.2184,The Mountain Spring,Gemini
3,flow,2.0692,The Mountain Spring,Gemini
4,rocks,1.8644,The Mountain Spring,Gemini
0,earth,2.5683,Roots,Gemini
1,tree,2.1522,Roots,Gemini
2,labor,1.3263,Roots,Gemini
3,snakes,1.3059,Roots,Gemini
4,nourished,1.1736,Roots,Gemini
0,forest,6.6402,Its Rising Its Getting Light,Gemini
1,eat,4.953,Its Rising Its Getting Light,Gemini
2,thought,4.8984000000000005,Its Rising Its Getting Light,Gemini
3,village,4.228800000000001,Its Rising Its Getting Light,Gemini
4,snow,3.8087999999999997,Its Rising Its Getting Light,Gemini
0,ghurshia,14.936799999999995,A Small Shepherds Thoughts,Gemini
1,sheep,12.2224,A Small Shepherds Thoughts,Gemini
2,didghura,7.946400000000001,A Small Shepherds Thoughts,Gemini
3,grandfather,7.6736,A Small Shepherds Thoughts,Gemini
4,heard,4.330399999999999,A Small Shepherds Thoughts,Gemini
0,wedding,12.7941,The Wedding Of The Jays,Gemini
1,feast,11.884399999999998,The Wedding Of The Jays,Gemini
2,flower,8.3721,The Wedding Of The Jays,Gemini
3,fly,7.424999999999999,The Wedding Of The Jays,Gemini
4,worm,6.295300000000002,The Wedding Of The Jays,Gemini
