,Poem ID,Poem Name,Verse,Vazha,Hewitt,Google,Gemini,ChatGPT,Hewitt - Google,Hewitt - Gemini,Hewitt - ChatGPT
0,1,I Believe I Always Have Believed,1,"მრწამს, მარად მიწამებია მუდმივ სიცოცხლე სულისა, კარგისა, ქვეყნის მოყვარის, ქვეყნის ბედისგან წყლულისა.","I believe, I always have believed In the eternal life of the soul, The good, the lover of the world, Scarred by the fate of this same world.","I believe, there are always lands eternal life of the soul, Good, country lover, Ulcer from the fate of the country.","I believe, I've always believed In the eternal life of the soul, Of the good, the lover of the country, The one pained by the country's fate.","I believe, I have always believed in the eternal life of the soul, of the good, the lover of the homeland, the one suffering from the fate of the country.",0.5348232,0.74135184,0.7676279
1,1,I Believe I Always Have Believed,2,"მრწამს, ფერფლნი კარგის გულისა ქარმ რო გაფანტოს ხმელადა, თვითოში მაინც ენთება ტიალ-სურვილი ცხელადა, –","I believe that, though the ashes of kind hearts Be scattered over the land by the wind, Yet in each of us there will burn Hotly a wish forlorn —","I believe that ashes are the heart of a good person Let the wind scatter the land, It still burns in itself Tial-desire was hot, –","I believe, even when the ashes Of a good heart are scattered by the wind, Within each one, a spark still ignites, A burning desire for warmth.","I believe, that even if the ashes of a good heart are scattered by the wind, they will still ignite a burning desire within, —",0.73143494,0.7585442,0.8255885
2,1,I Believe I Always Have Believed,3,"ავის მჩაგრავად, კეთილის მუდამ იქნება მცველადა; ბეჩავის, გაჭირებულის მომხმარედ, მეშვლად, მხსნელადა.","To repress evil, and that this Will ever be a defence of the good, Help, succour and saviour Of the downtrodden and needy.","Evil oppressor, good There will always be a guard; Bechav, needy He helped me, helped me, saved me.","To suppress evil, to protect the good, It will always be a guardian; For the poor, the troubled, A helper, a savior, a rescuer.","as the protector against evil, the good will always be a guardian; for the helpless, the downtrodden a helper, a supporter, a savior.",0.41988173,0.7258084,0.5908606
3,1,I Believe I Always Have Believed,4,"კარგს გულს არა ჰკლავს ბუნება, თან დააქვს ძველის-ძველადა!","Nature does not totally extinguish a kind heart, She carries it along with her from the very dawn of time.",Nature does not kill a good heart Brings old things with him!,"Nature does not kill a good heart, It carries it along, from time immemorial!","Nature does not kill a good heart, it carries the wisdom of the ancients!",0.66174227,0.8068991,0.7612014
4,2,Bakur,1,"– გვიამბე, ელიზბარაო, რა ამბავ მოხდა ეღოსა?","Tell us, Elizbar, In Egho what did occur.","– Tell us, Elizabeth What happened to Egosa?","– Tell us, Elizbara, What happened at dawn?","Tell us, Elizbar, what happened at Egho?",0.45760292,0.6862304,0.9079639
5,2,Bakur,2,როგორ დაეცნენ ლეკები ბაკურის ციხე-ეზოსა?,How did the Dagestanis fall Upon Bak’ur’s fortress-home?,How did the Leks fall? Bakur castle yard?,How did the Leks fall In Bakuri's castle courtyard?,How did the Lekians attack Bakur’s fortress yard?”,0.5720731,0.55650425,0.4893002
6,2,Bakur,3,– არ მინდა ძველი დარდები რომ გულში აიწეწოსა.,I do not want old sorrow Our hearts again to furrow.,– I don't want old worries to touch his heart.,– I don't want to stir up old sorrows In my heart again.,“I don’t want the old sorrows to be stirred in my heart.,0.5641086,0.77355427,0.7756722
7,2,Bakur,4,მე რა ვსთქვა? უნდა კაცობა ბაკურმა დაიკვეხოსა…,Who am I to speak? It is for Bak’ur To vaunt his own valour...,what can i say Must be a man Bakur boasted...,What can I say? It's for men To lament Bakuri's fate...,What should I say? It’s manhood that Bakur should boast of…,0.3887867,0.3204934,0.34806985
8,2,Bakur,5,ჩემფერეების სიცოცხლე სამარემ დაილეკოსა.,The life of me and others The grave extinguishes.,My life Samare cried.,The lives of my loved ones Are extinguished forever.,The lives of people like me are swept away by the grave.,0.2766172,0.59181595,0.6652752
9,2,Bakur,6,"– რად იტყვი, კაცო, მაგასა, თავს რადა სწიხლავ ფეხითა?","That why say you, man? A kick upon yourself why land?","– What do you say, man? Why are you kicking yourself?","– Why say that, man, Why blame yourself?","– Why do you say that, man, why do you lament yourself?",0.5398534,0.4255607,0.44792223
10,2,Bakur,7,– სიმართლით მარტო ეს მეთქმის. მაშ ტყუილი ვთქვა კვეხითა?,"In truth this is all I want to say, Or should I boast while lying, pray?",– That's all I can tell you honestly. So should I tell a lie?,– Only the truth I can speak. Should I lie instead?,– Only the truth is what I can say. Should I lie out of pride?,0.56368786,0.7383498,0.707314
11,2,Bakur,8,"ვერ შავძელ იმის მხრის ჭერა, ვერ მოვკვდი, – სული მეტკბილა…","I was unable to take his side, I could not give up — so sweet it seemed — my life...","I can't bear to hold the shoulder I couldn't die, my soul was sweet...","I couldn't bear that burden, I couldn't die, my soul clung to life...","I couldn’t bear his shoulder, I didn’t die – my soul remained sweet…",0.59137815,0.6673663,0.646801
12,2,Bakur,9,ბაკურის ომი და ქცევა ნეტავი თვალით გეხილა!,Bak’ur’s skill in the fight You should have seen with your own eyes!,Bakury's war and conduct I wish I could see you with my own eyes!,If only you had seen with your own eyes Bakuri's battle and fall!,Bakur’s war and actions I wish you had seen with your own eyes!,0.319068,0.41594478,0.3798281
13,2,Bakur,10,"გული მკლავს, ცოცხლად რისთვისა მტერს ჩავუვარდი ხელშია, –","I’m pained at heart; alive, I ask, Why did I fall into the enemy’s grasp?","My heart is killing me, why am I alive? I fell into the hands of the enemy,","My heart aches, why am I alive, Why did I fall into the enemy's hands?","It kills my heart, why did I fall into the enemy’s hands alive, –",0.752326,0.8171052,0.76722074
14,2,Bakur,11,ამისგან ეხლა ფიქრები შხამად ამომდის ყელშია.,Because of this my present thoughts Well up inside my throat.,Thoughts from this now It's like poison in my throat.,These thoughts now rise Like poison in my throat.,"From this, my thoughts rise like poison in my throat.",0.69484276,0.72729725,0.7670006
15,2,Bakur,12,"თავის აღება არ მწადის, ვეღარც გავშლილვარ წელშია.","To lift my head I do not hasten, Nor seem I able my waist to straighten.",I can't help myself I can't even open my mouth anymore.,"I don't want to raise my head, Nor can I straighten my back.","I don’t wish to lift my head, nor can I straighten my back.",0.1983994,0.677585,0.7419468
16,2,Bakur,13,"– ხომ არ გაექე, რა ვუყოთ, არ დაგაცალეს სიკვდილი…",At least you didn’t flee — so why cry? They robbed you of the chance to die...,– Don't you know what to do? Death did not empty you...,"– You didn't run, what can we do, Death didn't take you...","– Maybe it wasn’t meant to be, what can we do, they didn’t let you die…",0.361001,0.45914882,0.40348983
17,2,Bakur,14,"ის რისთვის გესირცხვილება, რაიც არ არი სირცხვილი?",Why judge you as a cause for shame That in which there is no blame?,what are you ashamed of What is not a shame?,Why be ashamed of what Is not shameful?,Why do you feel ashamed of something that isn’t shameful?,0.48844212,0.7073734,0.6800858
18,2,Bakur,15,"ჩვენც ვიცით, აგრე გავიგეთ ამბავი კილო-კავადა;","We too know, thus did we discover This news by some talk or other;","We also know, that's how we heard Story Kilo-Kawada;","We know, we heard The news from afar;","We know too, we heard the story like rumor and wind;",0.5017271,0.6839244,0.5500067
19,2,Bakur,16,"ერთმაც არ დაგგმო, ღვთის მადლმა, არ მოგიხსენა ავადა.",None censured you — by God’s grace — None talked of you in disgrace.,"Not a single one condemned you, by the grace of God, I didn't mention Avada.","No one blamed you, thank God, No one spoke ill of you.","No one blamed you, thank God, no one mentioned you badly.",0.45881516,0.51384115,0.47664142
20,2,Bakur,17,"გენუკავთ, ომის ამბავი ეხლა გვიამბო თავადა.","We entreat you, the news of the war To tell us now just as you saw.","Genukavt, war story Now he told us himself.","Tell us now, yourself, The story of the battle.","It’s enough for us, tell us the story of the war now.",0.4681491,0.5057571,0.66356814
21,2,Bakur,18,"– დიდი მოიდა მტრის ჯარი, გარს შემოგვერტყა ღობედა,",A huge enemy-force descended And like a fence all round we were encircled.,"– a large enemy army has come, A fence surrounded us,","– A great enemy army came, Surrounded us like a fence,","– A large enemy army came, surrounded us like a fence,",0.67252976,0.70684785,0.7441083
22,2,Bakur,19,"შვიდ დღეს ვიგერეთ თოფებით, მრავალი კიდეც ვხოცეთა;","For seven days with guns we kept it at bay, And many besides we managed to slay;","We fought with guns for seven days, I killed many;","For seven days we fought them with guns, And killed many of them too;","for seven days we fought with guns, we killed many too;",0.67324364,0.8548164,0.7794253
23,2,Bakur,20,"დიაცნი წამალს გვიწყავდენ, – ქების ღირსნია სწორედა!..",The women were measuring out our powder dry — In truth no praise for them’s too high! —,"The doctor orders us medicine, It is worthy of praise!","The women were making bullets for us, They deserve praise indeed!..","The women prepared medicine for us, – they are truly worthy of praise!..",0.3766548,0.5701519,0.54295135
24,2,Bakur,21,"მერვე დღეს ტყვია-წამალი გასწყდა, გათავდა სრულადა","On day eight powder and shot dried up, Completely did they run out.","On the eighth day, bullet-medicine It's finished, it's completely finished","On the eighth day, the bullets Ran out, finished completely,","On the eighth day, the ammunition ran out, completely finished",0.51029813,0.6209468,0.64844435
25,2,Bakur,22,და ჩვენი შრომაც მაშინვე ჩავთვალეთ დაკარგულადა.,Our labour then and there We deemed to be in despair.,And our work immediately We considered it lost.,And our efforts then We considered lost.,and our efforts we considered lost.,0.59330726,0.5975596,0.60284245
26,2,Bakur,23,"უძილო, მშიერ-მწყურვალნი, – მტერს, რომ ჩვენ მაშინ ვიყვენით!","Without sleep, food or water — How we were then, one day the enemy will ponder! —","sleepless, hungry and thirsty, To the enemy that we were then!","Sleepless, hungry and thirsty, We were then against the enemy!","Sleepless, hungry, and thirsty, – we were to the enemy at that time!",0.7637628,0.77280486,0.8022822
27,2,Bakur,24,"ბედმა გვიმუხთლა ტიალმა, გავცუდდით, გავირიყენით.","We were betrayed by cruel fate, Put under pressure, left isolate.","fate struck us We made a mistake, we used it.","Fate turned against us, We were lost, we were scattered.","Fate betrayed us, we failed, we were cast out.",0.47204372,0.6742332,0.7316631
28,2,Bakur,25,"მოდგა და მოდგა მტრის ჯარი, ციხის მოერტყა ლიბოსა;","Ever forward advanced the enemy-station, Till it quite engulfed the fortress-foundation.","The enemy army came and came, Libosa was hit by the prison;","The enemy army came and came, Surrounded the castle's walls;","The enemy’s army kept coming, surrounded the fortress;",0.43198118,0.54990053,0.71179897
29,2,Bakur,26,ჰრჩებოდა ჩვენი ქავ-ციხე გულ-ხადარას და დიდოსა.,Finally there remained only our walled castle For Gud-Xadara and Dido tribes to grapple.,Our stone castle remained Gul-Khadara and Dido.,Our fortress remained With Gul-Khadara and Dido.,Our fortress held firm to the brave and the great.,0.6043706,0.5733976,0.35217094
30,2,Bakur,27,"„უნდა ცოლ-შვილით მტერს დავრჩეთ, სირცხვილი კისრით ვზიდოთა!","“Must we be left with women and children to the mercy of the foe, Must we this shame upon our necks bestow?!","""We should stay with the enemy with our wives and children, Shame on the neck!","""We'll be left to the enemy with our wives and children, We'll carry the shame on our necks!","“Should we stay with our wives and children, and bear the shame on our necks?!",0.71966684,0.7539357,0.75565565
31,2,Bakur,28,მას მემრე ტანზე აბჯარი როგორღა დავიკიდოთა?!“,Thereafter how could we ever hang again Our armour and weapons about our frame?”,"He was wearing armor on his body How can I hang myself?!""","How can we wear armor After this?""",How can we put on armor again after this?!”,0.5425313,0.6292728,0.62536657
32,2,Bakur,29,"ცეცხლად გადიქცა ბაკური, მარტო ოხვრად და კვნესადა…","Bak’ur turned to flame, From him just sighs and moans there came...","Bakur turned into fire, He was only moaning and groaning...","Bakuri became like fire, Only sighing and moaning...","Bakur turned into fire, only sighs and moans…",0.44534177,0.48073354,0.5228896
33,2,Bakur,30,"გული ჰქცევია ტალადა, თვალები უჩანს კვესადა.","His heart turned to flint, His eyes took on a steely glint.","The heart turns to Talada, Quesada's eyes are visible.","His heart turned to stone, His eyes seemed like wells.","His heart turned to steel, his eyes like flint.",0.39233607,0.65279275,0.9051994
34,2,Bakur,31,"„ვაჰ დედას მტრისას!“ – ესა სთქვა, ხელი გაივლო ხმალზედა:",“A curse upon the mother of the foe!” he swore And across his sword his hand did draw.,"""Wow, mother's enemy!"" - Esa said. He ran his hand over the sword.","""Woe to the enemy's mother!"" - he said, And his hand reached for his sword:","“Woe to the mother of the enemy!” – he said, and put his hand on his sword:",0.5619741,0.77357626,0.7611368
35,2,Bakur,32,„ისევ მე დაგხოცთ!“ – და ცოლ-შვილს თავები დასჭრა წამზედა.,Then saying: “Now see your fate!” His wife and child did instantly decapitate.,"""I will kill you again!"" - and to his wife and children Heads were cut off.","""I'll kill you again!"" - and he cut off The heads of his wife and children.",“I will kill you myself!” – and he cut off the heads of his wife and children instantly.,0.7454978,0.6724235,0.6927881
36,2,Bakur,33,"მტერს მიეგება ციხის კარს, მეც იმას მივყევ კვალზედა.","The enemy he went forth to meet at the castle-gate, I too followed after him in his wake.","The enemy will reach the prison door, I will follow that too.","He went to meet the enemy at the castle gate, And I followed in his footsteps.","He met the enemy at the fortress gate, I followed him closely.",0.5207751,0.87477624,0.7999299
37,2,Bakur,34,"გაუხტა ხმალ-მოღერებით, ფრანგულმა გაიცინაო:","He leapt at them, his sword a-brandishing, And his blade from France a laugh began a-flashing.",leaped with sword-singing The French laughed.,"He jumped out with sword raised, The Frenchman laughed, they say:","With his sword raised, he smiled French-style:",0.8204837,0.79218495,0.7092354
38,2,Bakur,35,"თორმეტი მოკლა ციხის კარს, ერთურთზე დააწვინაო.","Twelve he slew at the castle-door, One was laid to rest, then on top one more.","twelve killed at the prison door, Lay on one another.","He killed twelve at the castle gate, Laid them one on top of the other.","He killed twelve at the fortress gate, laying them one upon another.",0.6585871,0.7634322,0.67008543
39,2,Bakur,36,ვეფხვსა დააცვდა კლანჭები: ბაკურმაც დაიძინაო.,"At length the tiger’s claws were spent, And Bak’ur too to sleep he went.",Claws protected the tiger: Bakur also fell asleep.,The tiger lost its claws: Bakuri fell asleep too.,The tiger’s claws grew tired: Bakur fell asleep too.,0.64821595,0.67996407,0.71175355
40,3,Some Day It Will Happen I Shall Die,1,"ერთხელც იქნება, მოვკვდები, მივებარები მიწასა, –","Some say it will happen — I shall die, I shall be consigned to earth,","I will die once I run to the ground,","One day it will happen, I will die, I will be entrusted to the earth, –","One day, I will die, I will lie down on the ground, –",0.54476476,0.6698819,0.5218733
