,Keyword,Score,Poem,Author
0,ashes,0.4305,I Believe I Always Have Believed,Google
1,soul,0.3329,I Believe I Always Have Believed,Google
2,land,0.3135,I Believe I Always Have Believed,Google
3,fate,0.2719,I Believe I Always Have Believed,Google
4,eternal,0.2533,I Believe I Always Have Believed,Google
0,death,2.1408,Bakur,Google
1,enemy,1.9182000000000001,Bakur,Google
2,kawada,1.6317,Bakur,Google
3,heard,1.1768999999999998,Bakur,Google
4,story,1.1556,Bakur,Google
0,die,0.4377,Some Day It Will Happen I Shall Die,Google
1,mournful,0.3875,Some Day It Will Happen I Shall Die,Google
2,samar,0.3382,Some Day It Will Happen I Shall Die,Google
3,shaurev,0.3321,Some Day It Will Happen I Shall Die,Google
4,heart,0.3161,Some Day It Will Happen I Shall Die,Google
0,sword,0.4204,I Feel Like Singing And I Shall Sing,Google
1,sing,0.352,I Feel Like Singing And I Shall Sing,Google
2,suffering,0.309,I Feel Like Singing And I Shall Sing,Google
3,amiran,0.3077,I Feel Like Singing And I Shall Sing,Google
4,heart,0.2771,I Feel Like Singing And I Shall Sing,Google
0,bare,0.9076,Voice From The Grave,Google
1,sword,0.8962,Voice From The Grave,Google
2,straining,0.8094,Voice From The Grave,Google
3,powers,0.802,Voice From The Grave,Google
4,veil,0.752,Voice From The Grave,Google
0,boy,0.5298,That In Truth Is Not Manliness,Google
1,boyishness,0.5252,That In Truth Is Not Manliness,Google
2,boyhood,0.4568,That In Truth Is Not Manliness,Google
3,oppressed,0.2692,That In Truth Is Not Manliness,Google
4,drunkard,0.261,That In Truth Is Not Manliness,Google
0,deer,1.2906,The Law Of The World Is Thus,Google
1,nightingale,1.202,The Law Of The World Is Thus,Google
2,village,0.8656,The Law Of The World Is Thus,Google
3,living,0.6858,The Law Of The World Is Thus,Google
4,statute,0.685,The Law Of The World Is Thus,Google
0,chain,2.5488,Amiran,Google
1,sword,2.0925,Amiran,Google
2,crucified,1.8683999999999998,Amiran,Google
3,suffering,1.7661,Amiran,Google
4,slave,1.6911,Amiran,Google
0,enemy,1.0516,The Old Song Of Cavaliers,Google
1,invade,1.0378,The Old Song Of Cavaliers,Google
2,father,1.0238,The Old Song Of Cavaliers,Google
3,afraid,0.9932000000000001,The Old Song Of Cavaliers,Google
4,blood,0.8495999999999999,The Old Song Of Cavaliers,Google
0,mother,1.3596,Consciences Song,Google
1,tell,1.0324,Consciences Song,Google
2,swindis,0.8972,Consciences Song,Google
3,kharkada,0.7512,Consciences Song,Google
4,bribed,0.7398,Consciences Song,Google
0,shamaushvan,0.4345,As Once You Did O Lady As Once You Did,Google
1,mountain,0.3453,As Once You Did O Lady As Once You Did,Google
2,maighon,0.3387,As Once You Did O Lady As Once You Did,Google
3,betray,0.3176,As Once You Did O Lady As Once You Did,Google
4,homeland,0.2653,As Once You Did O Lady As Once You Did,Google
0,eagle,1.5924,Loneliness,Google
1,salam,1.4236,Loneliness,Google
2,maz,1.1021999999999998,Loneliness,Google
3,king,1.0884,Loneliness,Google
4,dedicated,0.8402,Loneliness,Google
0,human,0.3978,What Created Me A Human Being,Google
1,flowers,0.3201,What Created Me A Human Being,Google
2,felt,0.3102,What Created Me A Human Being,Google
3,heart,0.3081,What Created Me A Human Being,Google
4,snow,0.2904,What Created Me A Human Being,Google
0,snake,1.5284,Yet Again Shall I See The Spring,Google
1,growls,1.2738,Yet Again Shall I See The Spring,Google
2,hvoden,0.9652000000000001,Yet Again Shall I See The Spring,Google
3,let,0.7864,Yet Again Shall I See The Spring,Google
4,spring,0.728,Yet Again Shall I See The Spring,Google
0,mood,2.3841,Thrush Its The Same Song You Sing,Google
1,sing,1.458,Thrush Its The Same Song You Sing,Google
2,shashvo,1.17,Thrush Its The Same Song You Sing,Google
3,tanzeda,1.0206,Thrush Its The Same Song You Sing,Google
4,nourishment,1.0023,Thrush Its The Same Song You Sing,Google
