,Prose ID,Prose Name,Verse,Vazha,Hewitt,Google,Gemini,ChatGPT,Hewitt - Google,Hewitt - Gemini,Hewitt - ChatGPT
0,21,Violet,1,უღრანს ტყეში მოსული ვარ…,I have sprung to life in a dense forest…,I have come to the dense forest...,I have come to a dense forest...,I have come to the dense forest...,,,
1,21,Violet,2,"მანამ ცოცხალი ვარ, ჩემის სილამაზით დავატკბობ ტყეს, ბალახს და იმ გაღმიდამ გამომცქერალს გულხავსიანს კლდესა, სუნელებას მივაფრქვევ არე-მარეს.","While I live, with my beauty I shall bring sweetness to the forest, the grass and that rock which gazes over from across the river, with its bosom clothed in moss; I shall spread my delightful aroma all around.","As long as I am alive, I will sweeten the forest, the grass, and the mossy rock with my beauty, I will sprinkle spices on the surroundings.","As long as I am alive, I will delight the forest, the grass, and that heart-shaped rock looking at me from afar with my beauty, I will spread fragrance around.","As long as I am alive, I will grace the forest, the grass, and that rough cliff watching from afar with my beauty. I will spread my fragrance to the surroundings.",,,
2,21,Violet,3,"ყველას ვუყვარვარ: აგერ იმ დამპალს ყუნჭს თვალი სულ ჩემსკენ უჭირავს, მიცინის ხოლმე, უნდა ჩემთან მოვიდეს, – მაკოცოს, მაგრამ არ შეუძლიან, მხოლოდ შორიდამ გამიცინებს, გაიღიმება საცოდავი, თუმცა უშნოდ, მაგრამ გულკეთილობა კი დიდი გადაეფინება ხოლმე პირზედ.","I am loved by all; just here that rotting tree-stump has its eye constantly fixed on me; it laughs in my direction and wants to come over — to kiss me, but it can’t; only from a distance will it continue to laugh and smile at me, poor thing; it may be ugly, but in general there will always be a wealth of kind-heartedness depicted on its face.","Everyone loves me: if that rotten bastard keeps his eyes on me, he laughs at me, he wants to come to me, - kiss me, but he can't, he only laughs at me from afar, he smiles pitifully, although ugly, but the kindness is sometimes reflected on his face.","Everyone loves me: that rotten stump over there has its eyes fixed on me, it smiles at me sometimes, it wants to come to me - to kiss me, but it can't, it just smiles at me from afar, the poor thing will smile, even though it's ugly, but great kindness spreads over its face.","Everyone loves me: look at that rotting stump, its eyes always fixed on me, it smiles sometimes, wanting to come closer, to kiss me, but it cannot; it only smiles at me from a distance, poor thing, though unattractive, a great kindness spreads over its face.",,,
3,21,Violet,4,განა მარტო იმას უხარიან ჩემი სიცოცხლე?,And do you think it’s only that stump which rejoices in my existence?,Is that the only reason they enjoy my life?,Is it only him who is happy with my life?,Is it only that which rejoices in my life?,,,
4,21,Violet,5,"წვერხმელი ხეებიც მე დამხარიან ზევიდამ, თვითონ თავშიშველნი, ტოტებს მე მაფარებენ: ჩვენს იას არ შეგვიცივდეს, ან არაფერმა არ აწყინოსო.","The trees too with their dry, beard-like foliage joyfully look down on me from above — themselves bare-headed, they cover me with their branches: “Our little violet mustn’t catch cold; nothing must upset her,” they say.","Even the topless trees are leaning on me from above, they themselves are bare, their branches cover me: let not our yew get cold, or let nothing freeze.","The bearded trees also lean towards me from above, themselves bareheaded, they cover me with their branches: Let our violet not catch a cold, or let nothing hurt it.","Even the dead trees support me from above, themselves bare-headed, they cover me with their branches: ""Let our violet not get cold, or be harmed by anything.""",,,
5,21,Violet,6,პირდაპირ შხაპუნა წვიმას არ უშვებენ ჩემამდის: წვიმას შეუძლიან ერთბაშად ჩამომაცალოს ფოთლები.,"The cascading rain they don’t allow to fall directly upon me, for in a moment the rain can strip me of my leaves,",They don't let direct rain fall on me: the rain can wash off the leaves at once.,They don't let the direct shower rain reach me: the rain can suddenly strip my leaves.,They do not let the heavy rain reach me directly: rain can strip me of my leaves at once.,,,
6,21,Violet,7,უფოთლებოდ ყოფნა და სიკვდილი ჩემთვის ერთია.,And leaflessness means death for me.,Being leafless and dying are the same thing for me.,Being leafless and death are the same for me.,Being without leaves is the same as death for me.,,,
7,21,Violet,8,"არა, ხეები: არყი, წიფელი, თხილი, თამელი, დუდგულა გარშემო მეხვევიან და მყარაულობენ, წვიმის ნამს ინახავენ ტოტებით, ფოთლებით და მერე ნელ-ნელა მამცვრევენ პირზე თითო-ოროლ ნამობით, პირსა მბანენ.","No, the trees — birch, beech, the nut, wild pear and elder guard me on all sides; droplets of rain on their branches they hold and then slowly sprinkle on my face, just two or three, to produce a dew-like effect, and thus bathe my face for me.","No, the trees: birch, beech, hazel, tamel, dudgula surround me and make me strong, they keep the rain dew with their branches and leaves and then they slowly sprinkle my mouth with one or two drops of dew, they wash my mouth.","No, the trees: birch, beech, hazel, elm, hornbeam surround me and guard me, they keep the rain dew with their branches, leaves, and then slowly sprinkle one or two drops of dew on my face, they wash my face.","No, the trees: birch, beech, hazel, elm, and poplar surround me and guard me, they keep the rain's moisture in their branches and leaves and then slowly drip it onto me, washing my face.",,,
8,21,Violet,9,"მე ყელს მოვიღერებ და ვინატრებ, ნეტა სიმღერა შემეძლოს, ნეტავი დამბადებელს ჩემთვის ნიჭი მოეცა, რომ მექო მაღლა ცა და ღრუბელი, მზე, ეს ჩემი მფარველი ხეები, ეს მთები, ის ჭალები და ღაბუა ჩიტები, რომელნიც ხმელს, ყვითელს ფოთლებში წითლის და მწვანის ფრთაბუმბულით ჩემს წინ დაგოგვენ და ხანდახან შემომჭიკჭიკებენ პირში, მათამაშებენ, უხარიანთ ჩემი სიცოცხლე.","I gracefully bend my neck and yearn that I could only sing and that he who gave me life had endowed me with the talent to praise on high the sky and clouds, the sun, these trees that protect me, these mountains, those groves and fluffy-chested birds who hop about amongst the withered, yellow leaves with their red and green plumage and from time to time chirp right in my face; they embolden me and themselves rejoice in my being alive.","I will sing my throat and miss, I wish I could sing, I wish the creator gave me the talent to have above me the sky and the clouds, the sun, these trees of my protection, these mountains, those marshes and the birds that dry, yellow in the leaves with red and green feathers before me. They play with me and sometimes lick my mouth, they play with me, they enjoy my life.","I stretch my neck and wish, if only I could sing, if only the creator had given me the talent, so that I could sing the high sky and clouds, the sun, these trees that protect me, these mountains, those meadows and colorful birds, which are black, yellow. They crawl in front of me with red and green wings in the leaves and sometimes chirp in my mouth, play with me, they are happy with my life.","I lift my head and wish, if only I could sing, if only my creator had given me the gift to praise the high sky and clouds, the sun, these protective trees, these mountains, those meadows, and the chirping birds, which with their red and green feathers dance before me in the dry, yellow leaves and sometimes chirp at me, play with me, rejoicing in my life.",,,
9,21,Violet,10,"ჩემი ერთის თვის სიცოცხლე სხვის ოცდაოთხის თვის სიცოცხლეს სჯობია, მაგრამ დიდხანს სიცოცხლეს კი დანატრებული ვარ.",My single month’s existence betters another’s two-year span; nevertheless a long life is indeed the object of my desires.,"My life of one month is better than another's life of twenty-four months, but I miss a long life.","My one month of life is better than twenty-four months of someone else's life, but I long for a long life.","My one month's life is better than someone else's twenty-four months of life, but I long for a long life.",,,
