,Poem ID,Poem Name,Verse,Vazha,Hewitt,Google,Gemini,Gemini_ru,ChatGPT,ChatGPT_ru,Hewitt - Google,Hewitt - Gemini,Hewitt - Gemini_ru,Hewitt - ChatGPT,Hewitt - ChatGPT_ru
0,1,I Believe I Always Have Believed,1,"მრწამს, მარად მიწამებია მუდმივ სიცოცხლე სულისა, კარგისა, ქვეყნის მოყვარის, ქვეყნის ბედისგან წყლულისა.","I believe, I always have believed In the eternal life of the soul, The good, the lover of the world, Scarred by the fate of this same world.","I believe, there are always lands eternal life of the soul, Good, country lover, Ulcer from the fate of the country.","I believe, I've always believed In the eternal life of the soul, Of the good, the lover of the country, The one pained by the country's fate.","I believe, I have always believed in the eternal life of the soul, in goodness, in love for my homeland, in the pain of its fate.","I believe, I have always believed in the eternal life of the soul, of the good, the lover of the homeland, the one suffering from the fate of the country.","I believe, I have always believed in the eternal life of the soul, a kind soul, loving its country, suffering from the fate of the country.",,,,,
1,1,I Believe I Always Have Believed,2,"მრწამს, ფერფლნი კარგის გულისა ქარმ რო გაფანტოს ხმელადა, თვითოში მაინც ენთება ტიალ-სურვილი ცხელადა, –","I believe that, though the ashes of kind hearts Be scattered over the land by the wind, Yet in each of us there will burn Hotly a wish forlorn —","I believe that ashes are the heart of a good person Let the wind scatter the land, It still burns in itself Tial-desire was hot, –","I believe, even when the ashes Of a good heart are scattered by the wind, Within each one, a spark still ignites, A burning desire for warmth.","I believe that even if the ashes of a kind heart are scattered by the wind across the earth, within it still burns a fiery desire,","I believe, that even if the ashes of a good heart are scattered by the wind, they will still ignite a burning desire within, —","I believe that, when the wind scatters the ashes of a kind heart across the earth, there will still burn a fervent desire for emptiness, –",,,,,
2,1,I Believe I Always Have Believed,3,"ავის მჩაგრავად, კეთილის მუდამ იქნება მცველადა; ბეჩავის, გაჭირებულის მომხმარედ, მეშვლად, მხსნელადა.","To repress evil, and that this Will ever be a defence of the good, Help, succour and saviour Of the downtrodden and needy.","Evil oppressor, good There will always be a guard; Bechav, needy He helped me, helped me, saved me.","To suppress evil, to protect the good, It will always be a guardian; For the poor, the troubled, A helper, a savior, a rescuer.","For good, oppressed by evil, to always be a defender; for the poor and needy, a helper, deliverer, savior.","as the protector against evil, the good will always be a guardian; for the helpless, the downtrodden a helper, a supporter, a savior.","It will be an oppressor of evil, always a defender of good; it will support, protect, and save the poor and the needy.",,,,,
3,1,I Believe I Always Have Believed,4,"კარგს გულს არა ჰკლავს ბუნება, თან დააქვს ძველის-ძველადა!","Nature does not totally extinguish a kind heart, She carries it along with her from the very dawn of time.",Nature does not kill a good heart Brings old things with him!,"Nature does not kill a good heart, It carries it along, from time immemorial!","A kind heart is not killed by nature, it carries it with itself eternally!","Nature does not kill a good heart, it carries the wisdom of the ancients!","Nature does not kill a kind heart, it has existed since ancient times!",,,,,
4,2,Bakur,1,"– გვიამბე, ელიზბარაო, რა ამბავ მოხდა ეღოსა?","Tell us, Elizbar, In Egho what did occur.","– Tell us, Elizabeth What happened to Egosa?","– Tell us, Elizbara, What happened at dawn?","– Tell us, Elizbarao, what happened in Egosi?","Tell us, Elizbar, what happened at Egho?","– Tell us, Elizbar, what happened at Egho?",,,,,
5,2,Bakur,2,როგორ დაეცნენ ლეკები ბაკურის ციხე-ეზოსა?,How did the Dagestanis fall Upon Bak’ur’s fortress-home?,How did the Leks fall? Bakur castle yard?,How did the Leks fall In Bakuri's castle courtyard?,How did the Lezgins capture Bakur's fortress?,How did the Lekians attack Bakur’s fortress yard?”,How did the Chechens attack the courtyard of Bakur's fortress?,,,,,
6,2,Bakur,3,– არ მინდა ძველი დარდები რომ გულში აიწეწოსა.,I do not want old sorrow Our hearts again to furrow.,– I don't want old worries to touch his heart.,– I don't want to stir up old sorrows In my heart again.,– I don't want old wounds to torment my heart again.,“I don’t want the old sorrows to be stirred in my heart.,– I don't want old sorrows to tear my heart apart.,,,,,
7,2,Bakur,4,მე რა ვსთქვა? უნდა კაცობა ბაკურმა დაიკვეხოსა…,Who am I to speak? It is for Bak’ur To vaunt his own valour...,what can i say Must be a man Bakur boasted...,What can I say? It's for men To lament Bakuri's fate...,What can I say? Let Bakur himself tell of his valor...,What should I say? It’s manhood that Bakur should boast of…,What can I say? Bakur should boast of his bravery...,,,,,
8,2,Bakur,5,ჩემფერეების სიცოცხლე სამარემ დაილეკოსა.,The life of me and others The grave extinguishes.,My life Samare cried.,The lives of my loved ones Are extinguished forever.,May the lives of my loved ones rest in the damp earth.,The lives of people like me are swept away by the grave.,May my life end in the grave.,,,,,
9,2,Bakur,6,"– რად იტყვი, კაცო, მაგასა, თავს რადა სწიხლავ ფეხითა?","That why say you, man? A kick upon yourself why land?","– What do you say, man? Why are you kicking yourself?","– Why say that, man, Why blame yourself?","– What are you saying, man, weren't you ready to die yourself?","– Why do you say that, man, why do you lament yourself?","– Why do you say that, man, why do you abase yourself?",,,,,
