,Prose,Hewitt,Google,Gemini,ChatGPT
0,Violet,portends,life,scare,rain
1,Violet,trees,trees,rain,frighten
2,Violet,father,beauty,happy,beauty
3,Violet,leaflessness,father,beauty,trees
4,Violet,stump,leafless,caresses,morning
5,The Withered Beech,withered,beech,beech,beech
6,The Withered Beech,trees,trees,trees,trees
7,The Withered Beech,consolation,leaves,withered,tale
8,The Withered Beech,tale,sadness,tale,winter
9,The Withered Beech,nourishment,winter,deer,love
10,The Weeping Rock,nature,rock,rock,cliff
11,The Weeping Rock,valley,heart,heart,sorrow
12,The Weeping Rock,thousand,mountain,anger,valley
13,The Weeping Rock,merit,bari,valley,nature
14,The Weeping Rock,merely,thousand,strong,thousand
15,The Lofty Mountains,expectancy,heart,anticipation,mountains
16,The Lofty Mountains,mountains,waiting,mountains,waiting
17,The Lofty Mountains,deity,mountains,hearts,stand
18,The Lofty Mountains,countenance,like,wait,divinity
19,The Lofty Mountains,await,god,deity,unseen
20,The Vulture,vultures,god,vultures,vultures
21,The Vulture,carrion,savi,fly,chirping
22,The Vulture,perched,mutters,whispers,poor
23,The Vulture,praises,pilot,creature,soar
24,The Vulture,pestilence,crows,praise,stared
25,The Forest Was Crying,deer,deer,deer,deer
26,The Forest Was Crying,cawed,heard,venison,child
27,The Forest Was Crying,kebab,meadow,heard,stag
28,The Forest Was Crying,tastes,barbecue,slaughtered,daira
29,The Forest Was Crying,heard,nayalaghar,meadow,having
30,The Coarse Grass,mountain,boulders,grass,cliff
31,The Coarse Grass,grass,mountain,cliff,mountain
32,The Coarse Grass,boulders,parents,mountain,stones
33,The Coarse Grass,weeps,abyss,cries,abyss
34,The Coarse Grass,fall,afraid,boulders,cries
35,The Mountain Spring,god,god,god,water
36,The Mountain Spring,spring,goddess,spring,god
37,The Mountain Spring,flow,heaven,mountain,spring
38,The Mountain Spring,boulders,khorafs,flow,mountain
39,The Mountain Spring,faced,mountain,rocks,flow
40,Roots,earth,earth,earth,earth
41,Roots,oak,tree,tree,oak
42,Roots,withered,food,labor,withering
43,Roots,snakes,withering,snakes,roots
44,Roots,roots,rest,nourished,snakes
45,Its Rising Its Getting Light,ravenous,trees,forest,forest
46,Its Rising Its Getting Light,forest,eat,eat,eat
47,Its Rising Its Getting Light,snow,snow,thought,village
48,Its Rising Its Getting Light,night,village,village,gathering
49,Its Rising Its Getting Light,howling,night,snow,snow
50,A Small Shepherds Thoughts,sheep,sheep,ghurshia,kursha
51,A Small Shepherds Thoughts,away,heard,sheep,father
52,A Small Shepherds Thoughts,family,tighuna,didghura,grouse
53,A Small Shepherds Thoughts,didq,gave,grandfather,tighuna
54,A Small Shepherds Thoughts,ighuna,come,heard,herded
55,The Wedding Of The Jays,birds,birds,wedding,chaffinch
56,The Wedding Of The Jays,bride,wedding,feast,wedding
57,The Wedding Of The Jays,feast,chkhikvi,flower,feast
58,The Wedding Of The Jays,worm,flowers,fly,forest
59,The Wedding Of The Jays,seeds,feast,worm,kind
